Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Gaji_rangeSalary""), ""Tidak Tersedia Untuk Saat Ini"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:27,2022-06-09 00:40:28,"0,860s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Lokasi_location""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:28,2022-06-09 00:40:29,"0,384s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Lokasi_location""), ""KOTA JAKARTA UTARA"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:29,2022-06-09 00:40:30,"1,048s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Lokasi_isFulltime""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:30,2022-06-09 00:40:30,"0,455s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc1""), ""Membuat sebuah karya visual dalam bentuk video konten yang menarik dan inspiratif dengan menggunakan teknik edit dan cutting yang kreatif dan menarik"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:30,2022-06-09 00:40:31,"0,805s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Deskripsi""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:31,2022-06-09 00:40:31,"0,399s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc2""), ""Membuat video untuk ikan atau promo di sosial media "")",Chrome 102.0.5005.63,,,2022-06-09 00:40:31,2022-06-09 00:40:32,"0,776s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Deskripsi""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:32,2022-06-09 00:40:33,"0,332s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc3""), ""Selalu kreatif dan memiliki wawasan baru akan perkembangan audien yang berubah sewaktu-waktu"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:33,2022-06-09 00:40:33,"0,856s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Deskripsi""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:33,2022-06-09 00:40:34,"0,345s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc4""), ""Menguasai program video editing (Adobe Premiere, Adobe After Effects, Adobe Photoshop)"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:34,2022-06-09 00:40:35,"0,858s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Deskripsi""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:35,2022-06-09 00:40:35,"0,357s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc5""), ""Terbiasa mengunakan Kamera DSLR"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:35,2022-06-09 00:40:36,"0,817s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Deskripsi""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:36,2022-06-09 00:40:36,"0,438s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Deskripsi_desc6""), ""Terbiasa dengan tenggat waktu dan pressure dari perusahaan"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:36,2022-06-09 00:40:37,"0,803s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Waktu Proses Lamaran_longApplicationProcess""), ""8 hari"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:37,2022-06-09 00:40:38,"0,716s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Tingkat Pekerjaan_jobLevel""), ""Pegawai (non-manajemen & non-supervisor)"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:38,2022-06-09 00:40:39,"0,861s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Industri_industry""), ""Konsultasi (Bisnis & Manajemen)"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:39,2022-06-09 00:40:40,"1,785s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Tunjangan dan Lain Lain_allowance""), ""Asuransi Kesehatan, Waktu Reguler, Formil (contoh: kemeja + dasi), Komunikasi "")",Chrome 102.0.5005.63,,,2022-06-09 00:40:40,2022-06-09 00:40:41,"0,789s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Kualifikasi_qualification""), ""SMA, SMU/SMK/STM, Sertifikat Profesional, D3 (Diploma), D4 (Diploma), Sarjana (S1)"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:41,2022-06-09 00:40:42,"0,747s",PASSED
"setText(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/input_Link Lamaran Pekerjaan_jobLink""), ""https://www.jobstreet.co.id/id/job/videographer-3904581?jobId=jobstreet-id-job-3904581&sectionRank=1&token=0~edcc558f-152b-4952-a050-2599efcc9820&searchPath=%2Fid%2Fjob-search%2Fvideographer-jobs%2F&fr=SRP%20View%20In%20New%20Tab"")",Chrome 102.0.5005.63,,,2022-06-09 00:40:42,2022-06-09 00:40:43,"0,982s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/button_Tambah Lowongan Lowongan""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:43,2022-06-09 00:40:43,"0,529s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/div_Berhasil menambah Lowongan Pekerjaan""), 0)",Chrome 102.0.5005.63,,,2022-06-09 00:40:43,2022-06-09 00:40:47,"3,703s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/a_OK""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:47,2022-06-09 00:40:52,"5,336s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/td_Videographer""), 0)",Chrome 102.0.5005.63,,,2022-06-09 00:40:52,2022-06-09 00:40:53,"0,400s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/span_Admin""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:53,2022-06-09 00:40:53,"0,355s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/a_Logout""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:53,2022-06-09 00:40:54,"0,374s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/div_Select Logout below if you are ready to_ea7f33""), 0)",Chrome 102.0.5005.63,,,2022-06-09 00:40:54,2022-06-09 00:40:54,"0,657s",PASSED
"click(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Comphy - Admin/a_Logout_1""))",Chrome 102.0.5005.63,,,2022-06-09 00:40:54,2022-06-09 00:40:56,"1,300s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Dashboard Admin - Job Vacancy (Kevin Rimbun)/Page_Admin Comphy - Login/img_Welcome Back Admin Comphy_w-50""), 0)",Chrome 102.0.5005.63,,,2022-06-09 00:40:56,2022-06-09 00:40:59,"3,354s",PASSED
closeBrowser(),Chrome 102.0.5005.63,,,2022-06-09 00:40:59,2022-06-09 00:41:01,"2,135s",PASSED
